benchmark,n_procs,time
LC,1,2.295560836791992
LC,2,1.51210618019104
LC,3,1.2482051849365234
LC,4,1.1323769092559814
LC,5,1.058622121810913
LC,6,1.032315969467163
LC,7,1.054499864578247
LC,8,1.0321588516235352
LC,9,1.0621628761291504
LC,10,1.061141014099121
LC,11,1.0748772621154785
LC,12,1.0702791213989258
LC,13,1.3943719863891602
LC,14,1.395622968673706
LC,15,1.4390678405761719
LC,16,1.4633541107177734
Heat,1,33.468343019485474
Heat,2,18.565876007080078
Heat,3,13.75765085220337
Heat,4,10.79189395904541
Heat,5,9.236522912979126
Heat,6,8.420475006103516
Heat,7,7.544503927230835
Heat,8,6.953580141067505
Heat,9,6.655580043792725
Heat,10,6.339118003845215
Heat,11,6.375035762786865
Heat,12,6.460052967071533
Heat,13,6.578155755996704
Heat,14,6.594210147857666
Heat,15,6.545134782791138
Heat,16,6.516086101531982
Poisson,1,13.946357011795044
Poisson,2,7.702989101409912
Poisson,3,5.63093900680542
Poisson,4,4.537316799163818
Poisson,5,3.9240546226501465
Poisson,6,3.5705490112304688
Poisson,7,3.4952292442321777
Poisson,8,3.396790027618408
Poisson,9,3.234266757965088
Poisson,10,2.934108257293701
Poisson,11,3.258875846862793
Poisson,12,2.7860538959503174
Poisson,13,4.162912607192993
Poisson,14,4.747328996658325
Poisson,15,4.491100072860718
Poisson,16,5.016725778579712
